type,name,res_id,src,value,fuzzy
error,ekd.crm.case.section,0,The code of the section must be unique !,,0
error,ekd.crm.case.section,0,You can not create recursive accounts!,Вы не можете создать взаимозависимые счета!,0
field,"ekd.crm.case,active",0,Active,Действующий,0
field,"ekd.crm.case,categ",0,Category,Категории,0
field,"ekd.crm.case,categ_id",0,Category,Категории,0
field,"ekd.crm.case,channel",0,Channel,Канал связи,0
field,"ekd.crm.case,channel_id",0,Channel,Канал связи,0
field,"ekd.crm.case,date",0,Date,Дата,0
field,"ekd.crm.case,date_action_last",0,Last Action,Предыдущее действие,0
field,"ekd.crm.case,date_action_next",0,Next Action,Следующее действие,0
field,"ekd.crm.case,date_closed",0,Closed,Закрыто,0
field,"ekd.crm.case,date_deadline",0,Deadline,Крайний срок,0
field,"ekd.crm.case,description",0,Your action,Ваши действия,0
field,"ekd.crm.case,email_cc",0,Watchers Emails,,0
field,"ekd.crm.case,email_from",0,party Email,,0
field,"ekd.crm.case,email_last",0,Latest E-Mail,Следующая эл.почта,0
field,"ekd.crm.case,history_line",0,Communication,Переписка,0
field,"ekd.crm.case,log_ids",0,Logs History,Журналы выполнения,0
field,"ekd.crm.case,name",0,Description,Описание,0
field,"ekd.crm.case,party",0,Party,Контрагенты,0
field,"ekd.crm.case,party_address",0,Party Contact,,0
field,"ekd.crm.case,party_address_id",0,Party Contact,,0
field,"ekd.crm.case,party_id",0,Party,Контрагенты,0
field,"ekd.crm.case,planned_cost",0,Planned Costs,Планируемые затраты,0
field,"ekd.crm.case,planned_revenue",0,Planned Revenue,Планируемая выручка,0
field,"ekd.crm.case,priority",0,Priority,Приоритет,0
field,"ekd.crm.case,probability",0,Probability (%),Вероятность (%),0
field,"ekd.crm.case,rec_name",0,Name,Наименование,0
field,"ekd.crm.case,ref",0,Reference,Ссылка,0
field,"ekd.crm.case,ref2",0,Reference 2,Ссылка доп.,0
field,"ekd.crm.case,section",0,Section,Группа,0
field,"ekd.crm.case,som",0,State of Mind,Намерение,0
field,"ekd.crm.case,state",0,Status,Состояние,0
field,"ekd.crm.case,user",0,Responsible,Ответственный,0
field,"ekd.crm.case.category,name",0,Case Category Name,Наименование,0
field,"ekd.crm.case.category,probability",0,Probability (%),Вероятность (%),0
field,"ekd.crm.case.category,rec_name",0,Name,Наименование,0
field,"ekd.crm.case.category,section",0,Case Section,Группа дела,0
field,"ekd.crm.case.history,description",0,Description,Описание,0
field,"ekd.crm.case.history,email",0,Email,Эл.почта,0
field,"ekd.crm.case.history,log",0,Log,Журнал,0
field,"ekd.crm.case.history,log_id",0,Log,Журнал,0
field,"ekd.crm.case.history,note",0,Description,Описание,0
field,"ekd.crm.case.history,rec_name",0,Name,Наименование,0
field,"ekd.crm.case.log,case",0,Case,Дело,0
field,"ekd.crm.case.log,case_id",0,Case,Дело,0
field,"ekd.crm.case.log,channel",0,Channel,Канал связи,0
field,"ekd.crm.case.log,channel_id",0,Channel,Канал связи,0
field,"ekd.crm.case.log,date",0,Date,Дата,0
field,"ekd.crm.case.log,name",0,Action,Действие,0
field,"ekd.crm.case.log,rec_name",0,Name,Наименование,0
field,"ekd.crm.case.log,section",0,Section,Группа,0
field,"ekd.crm.case.log,som",0,State of Mind,Намерение,0
field,"ekd.crm.case.log,user",0,User Responsible,Ответственный,0
field,"ekd.crm.case.rule,act_email_cc",0,Add watchers (Cc),,0
field,"ekd.crm.case.rule,act_mail_body",0,Mail body,Текст письма,0
field,"ekd.crm.case.rule,act_method",0,Call Object Method,,0
field,"ekd.crm.case.rule,act_priority",0,Set priority to,Установить приоритет в,0
field,"ekd.crm.case.rule,act_remind_attach",0,Remind with attachment,Напомнить с вложением,0
field,"ekd.crm.case.rule,act_remind_party",0,Remind party,Напомнить клиенту,0
field,"ekd.crm.case.rule,act_remind_user",0,Remind responsible,Напомнить ответственному,0
field,"ekd.crm.case.rule,act_section",0,Set section to,Установить группу в,0
field,"ekd.crm.case.rule,act_state",0,Set state to,Установить состояние в,0
field,"ekd.crm.case.rule,act_user",0,Set responsible to,Установить ответственного,0
field,"ekd.crm.case.rule,active",0,Active,Действующий,0
field,"ekd.crm.case.rule,name",0,Rule Name,Наименование,0
field,"ekd.crm.case.rule,rec_name",0,Name,Наименование,0
field,"ekd.crm.case.rule,sequence",0,Sequence,Последовательность,0
field,"ekd.crm.case.rule,trg_categ",0,Category,Категории,0
field,"ekd.crm.case.rule,trg_categ_id",0,Category,Категории,0
field,"ekd.crm.case.rule,trg_date_range",0,Delay after trigger date,,0
field,"ekd.crm.case.rule,trg_date_range_type",0,Delay type,Тип задержки,0
field,"ekd.crm.case.rule,trg_date_type",0,Trigger Date,Дата триггера,0
field,"ekd.crm.case.rule,trg_max_history",0,Maximum Communication History,,0
field,"ekd.crm.case.rule,trg_party",0,party,клиент,0
field,"ekd.crm.case.rule,trg_party_categ",0,party Category,,0
field,"ekd.crm.case.rule,trg_party_categ_id",0,party Category,,0
field,"ekd.crm.case.rule,trg_party_id",0,party,клиент,0
field,"ekd.crm.case.rule,trg_priority_from",0,Minimum Priority,,0
field,"ekd.crm.case.rule,trg_priority_to",0,Maximim Priority,,0
field,"ekd.crm.case.rule,trg_section",0,Section,Группа,0
field,"ekd.crm.case.rule,trg_state_from",0,Case State,Состояние дела,0
field,"ekd.crm.case.rule,trg_state_to",0,Button Pressed,,0
field,"ekd.crm.case.rule,trg_user",0,Responsible,Ответственный,0
field,"ekd.crm.case.section,active",0,Active,Действующий,0
field,"ekd.crm.case.section,allow_unlink",0,Allow Delete,Разрешить удаление,0
field,"ekd.crm.case.section,child_ids",0,Child Sections,,0
field,"ekd.crm.case.section,code",0,Section Code,Код,0
field,"ekd.crm.case.section,name",0,Case Section,Группа дела,0
field,"ekd.crm.case.section,parent",0,Parent Section,,0
field,"ekd.crm.case.section,rec_name",0,Name,Наименование,0
field,"ekd.crm.case.section,reply_to",0,Reply-To,Ответить,0
field,"ekd.crm.case.section,sequence",0,Sequence,Последовательность,0
field,"ekd.crm.case.section,user",0,Responsible User,Ответственный сотрудник,0
field,"ekd.crm.segmentation,categ",0,party Category,,0
field,"ekd.crm.segmentation,categ_id",0,party Category,,0
field,"ekd.crm.segmentation,description",0,Description,Описание,0
field,"ekd.crm.segmentation,exclusif",0,Exclusive,Эксклюзивный,0
field,"ekd.crm.segmentation,name",0,Name,Наименование,0
field,"ekd.crm.segmentation,party",0,Max party ID processed,,0
field,"ekd.crm.segmentation,party_id",0,Max party ID processed,,0
field,"ekd.crm.segmentation,rec_name",0,Name,Наименование,0
field,"ekd.crm.segmentation,sales_purchase_active",0,Use The Sales Purchase Rules,Используйте Правила Продажи Закупки,0
field,"ekd.crm.segmentation,segmentation_line",0,Criteria,Критерия,0
field,"ekd.crm.segmentation,som_interval",0,Days per Periode,Дни в периоде,0
field,"ekd.crm.segmentation,som_interval_decrease",0,Decrease (0>1),,0
field,"ekd.crm.segmentation,som_interval_default",0,Default (0=None),,0
field,"ekd.crm.segmentation,som_interval_max",0,Max Interval,,0
field,"ekd.crm.segmentation,state",0,Execution Status,Состояние выполнения,0
field,"ekd.crm.segmentation.line,expr_name",0,Control Variable,Контроль переменных,0
field,"ekd.crm.segmentation.line,expr_operator",0,Operator,Оператор,0
field,"ekd.crm.segmentation.line,expr_value",0,Value,Значение,0
field,"ekd.crm.segmentation.line,name",0,Rule Name,Наименование,0
field,"ekd.crm.segmentation.line,operator",0,Mandatory / Optional,Обязательное / Факультативного,0
field,"ekd.crm.segmentation.line,rec_name",0,Name,Наименование,0
field,"ekd.crm.segmentation.line,segmentation",0,Segmentation,Сегментация,0
field,"ekd.crm.segmentation.line,segmentation_id",0,Segmentation,Сегментация,0
field,"ekd.party.channel,active",0,Active,Действующий,0
field,"ekd.party.channel,name",0,Channel Name,Наименование канала связи,0
field,"ekd.party.channel,rec_name",0,Name,Наименование,0
field,"ekd.party.event,channel",0,Channel,Канал связи,0
field,"ekd.party.event,channel_id",0,Channel,Канал связи,0
field,"ekd.party.event,date",0,Date,Дата,0
field,"ekd.party.event,description",0,Description,Описание,0
field,"ekd.party.event,document",0,Document,Документ,0
field,"ekd.party.event,event_ical",0,iCal id,,0
field,"ekd.party.event,event_ical_id",0,iCal id,,0
field,"ekd.party.event,name",0,Events,События,0
field,"ekd.party.event,partner_id",0,Party,Контрагенты,0
field,"ekd.party.event,partner_type",0,Party Relation,Связь с клиентом,0
field,"ekd.party.event,party",0,Party,Контрагенты,0
field,"ekd.party.event,party_type",0,Party Relation,Связь с клиентом,0
field,"ekd.party.event,planned_cost",0,Planned Cost,Планируемые затраты,0
field,"ekd.party.event,planned_revenue",0,Planned Revenue,Планируемая выручка,0
field,"ekd.party.event,probability",0,Probability (0.50),Вероятность (0.50),0
field,"ekd.party.event,rec_name",0,Name,Наименование,0
field,"ekd.party.event,som",0,State of Mind,Намерение,0
field,"ekd.party.event,type",0,Type of Event,Тип события,0
field,"ekd.party.event,user",0,User,Пользователь,0
field,"ekd.party.event,user_id",0,User,Пользователь,0
field,"ekd.party.event.type,active",0,Active,Действующий,0
field,"ekd.party.event.type,key",0,Key,Ключ,0
field,"ekd.party.event.type,name",0,Event Type,Тип события,0
field,"ekd.party.event.type,rec_name",0,Name,Наименование,0
field,"ekd.party.som,factor",0,Factor,Коэффициент к основной единице,0
field,"ekd.party.som,name",0,State of Mind,Намерение,0
field,"ekd.party.som,rec_name",0,Name,Наименование,0
help,"ekd.crm.case.rule,act_email_cc",0,These people will receive a copy of the futur communication between party and users by email,,0
help,"ekd.crm.case.rule,act_remind_attach",0,Check this if you want that all documents attached to the case be attached to the reminder email sent.,,0
help,"ekd.crm.case.rule,act_remind_party",0,Check this if you want the rule to send a reminder by email to the party.,,0
help,"ekd.crm.case.rule,act_remind_user",0,Check this if you want the rule to send a reminder by email to the user.,,0
help,"ekd.crm.case.section,allow_unlink",0,Allows to delete non draft cases,,0
help,"ekd.crm.case.section,reply_to",0,The email address put in the 'Reply-To' of all emails sent by Open ERP about cases in this section,,0
help,"ekd.crm.segmentation,categ",0,The party category that will be added to partys that match the segmentation criterions after computation.,,0
help,"ekd.crm.segmentation,categ_id",0,The party category that will be added to partys that match the segmentation criterions after computation.,,0
help,"ekd.crm.segmentation,exclusif",0,"Check if the category is limited to partys that match the segmentation criterions. If checked, remove the category from partys that doesn't match segmentation criterions",,0
help,"ekd.crm.segmentation,name",0,The name of the segmentation.,,0
help,"ekd.crm.segmentation,sales_purchase_active",0,"Check if you want to use this tab as part of the segmentation rule. If not checked, the criteria beneath will be ignored",,0
help,"ekd.crm.segmentation,som_interval",0,"A period is the average number of days between two cycle of sale or purchase for this segmentation. It's mainly used to detect if a party has not purchased or buy for a too long time, so we suppose that his state of mind has decreased because he probably bought goods to another supplier. Use this functionality for recurring businesses.",,0
help,"ekd.crm.segmentation,som_interval_decrease",0,"If the party has not purchased (or bought) during a period, decrease the state of mind by this factor. It's a multiplication",,0
